Date Finished, Base Config, Name, Prune Rate, Current Val Top 1, Current Val Top 5, Best Val Top 1, Best Val Top 5, Best Train Top 1, Best Train Top 5
10-06-23_15:42:18, configs/cifar10/conv6-kn-biprop.yaml, baseline, 0.5, 89.82, 99.59, 89.92, 99.65, 98.97, 100.00
10-06-23_16:13:05, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 84.57, 99.27, 84.64, 99.38, 88.93, 99.70
10-06-23_16:31:15, configs/cifar10/conv8-kn-biprop-tiled-params.yaml, baseline, 0.5, 84.22, 99.36, 84.49, 99.38, 93.71, 99.93
10-08-23_02:43:21, configs/imagenet/resnet50-baseline.yaml, baseline, 0.5, 78.05, 93.58, 78.05, 93.86, 79.46, 92.97
10-08-23_23:40:59, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 84.00, 99.21, 84.08, 99.30, 88.69, 99.68
10-09-23_11:57:33, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 85.96, 99.41, 86.22, 99.47, 93.96, 99.95
10-09-23_12:09:27, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 84.35, 99.23, 84.78, 99.31, 89.01, 99.73
10-09-23_14:27:31, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 83.07, 99.17, 83.18, 99.27, 88.34, 99.69
10-09-23_14:42:26, configs/cifar10/conv6-kn-biprop-tiled-params-recycling.yaml, baseline, 0.5, 80.00, 98.47, 81.05, 98.63, 84.20, 99.10
10-09-23_16:59:12, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 87.22, 99.52, 87.45, 99.56, 96.36, 99.99
10-09-23_17:04:50, configs/cifar10/conv6-kn-biprop-tiled-params.yaml, baseline, 0.5, 84.35, 99.26, 84.67, 99.37, 89.89, 99.75
10-09-23_23:22:06, configs/cifar10/conv6-kn-biprop-tiled-params-iterand.yaml, baseline, 0.5, 84.41, 99.21, 84.49, 99.29, 89.20, 99.72
